"file","module","object_type","object_name"
"093__fix_wizard_rls_and_validation.sql","seguridad","policy","users can update their own tenant wizard progress on wizard_progress"
"093__fix_wizard_rls_and_validation.sql","seguridad","policy","users can delete their own tenant wizard progress on wizard_progress"
"095__enforce_plan_cuentas_tenant_scope.sql","contabilidad,seguridad","policy","plan_cuentas_authenticated_access on plan_cuentas"
"101__fix_crear_documento_desde_cpe.sql","fiscal","function","crear_documento_desde_cpe"
"104__asientos_numero_asiento_text.sql","contabilidad","materialized_view","mv_balance_comprobacion"
"104__asientos_numero_asiento_text.sql","contabilidad","materialized_view","mv_estado_resultados"
"104__asientos_numero_asiento_text.sql","contabilidad","materialized_view","mv_balance_general"
"106__productos_stock_numeric_with_view_rebuild.sql","inventario","view","vista_pos_productos"
"108__fix_vista_pos_productos_prices.sql","core","view","vista_pos_productos"
"109__productos_servicios_cajas.sql","finanzas","table","sucursales"
"109__productos_servicios_cajas.sql","finanzas","table","almacenes"
"109__productos_servicios_cajas.sql","finanzas","table","producto_precios_sucursal"
"109__productos_servicios_cajas.sql","finanzas","table","producto_stock_sucursal"
"109__productos_servicios_cajas.sql","finanzas","table","cajas"
"109__productos_servicios_cajas.sql","finanzas","table","sesiones_caja"
"110__vista_pos_productos_multisucursal.sql","core","view","vista_pos_productos"
"111__pos_tx_outbox.sql","core","table","pos_numeracion"
"111__pos_tx_outbox.sql","core","function","app.pos_registrar_venta_tx"
"112__rls_pos_tables.sql","seguridad","function","public._ensure_rls_if_tenant"
"115__pos_advisory_lock.sql","core","function","app.acquire_pos_lock"
"115__pos_advisory_lock.sql","core","function","app.release_pos_lock"
"117__rls_views.sql","seguridad","view","public.vw_ventas_pos_completas"
"117__rls_views.sql","seguridad","view","public.vista_balance_comprobacion"
"117__rls_views.sql","seguridad","view","public.vista_kardex_valorizado"
"117__rls_views.sql","seguridad","view","public.vw_ordenes_compra_abiertas"
"117__rls_views.sql","seguridad","view","public.vw_recepciones_detalle"
"117__rls_views.sql","seguridad","view","public.vw_devoluciones_detalle"
"117__rls_views.sql","seguridad","view","public.vw_inventario_recepciones"
"117__rls_views.sql","seguridad","view","public.vw_inventario_recepciones_detalle"
"117__rls_views.sql","seguridad","view","public.vw_kardex_valorizado"
"117__rls_views.sql","seguridad","view","public.vw_inventario_kardex_resumen"
